Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1634746753.417613,0,0,4.0,32.6
1634746760.1533914,0,0,4.0,34.4
1634746766.884055,0,0,4.0,35.6
1634746773.743252,0,0,4.0,31.4
1634746780.5830846,0,0,4.0,36.2
1634746787.303949,0,0,4.0,31.0
1634746794.111605,0,0,4.0,35.0
1634746801.1515217,0,0,4.0,37.2
1634746808.0666006,0,0,4.0,38.8
1634746814.9141629,0,0,3.5,36.8
1634746822.0356734,0,0,4.0,40.0
1634746829.0165143,0,0,4.0,34.4
1634746835.9817793,0,0,4.0,36.2
1634746842.8598058,0,0,4.0,39.0
1634746849.8861513,0,0,4.0,37.2
1634746856.841302,0,0,4.0,34.8
1634746863.9096036,0,0,4.0,45.0
1634746870.9463232,0,0,4.0,41.4
1634746878.0301814,0,0,4.0,48.6
1634746885.0455418,0,0,4.0,47.4
1634746891.9829519,0,0,4.0,42.0
1634746899.2488017,0,0,4.0,42.8
1634746906.2872975,0,0,4.0,45.0
1634746913.4474373,0,0,4.0,44.6
1634746920.6410098,0,0,4.0,47.6
1634746927.7364364,0,0,5.0,44.0
1634746934.9209087,0,0,5.0,41.8
1634746941.9812968,0,0,5.0,42.2
1634746949.239068,0,0,4.0,43.0
1634746956.5008137,0,0,4.0,44.0
1634746964.1336448,0,0,4.0,40.8
1634746971.320035,0,0,4.0,35.6
1634746978.700635,0,0,4.0,39.4
1634746985.9702091,0,0,5.0,41.6
1634746993.3596952,0,0,5.0,36.2
1634747000.743999,0,0,5.0,31.4
1634747008.2126603,0,0,5.0,36.8
1634747015.4834752,0,0,4.0,39.6
1634747022.9618382,0,0,4.0,42.4
1634747030.3787763,0,0,4.0,39.8
1634747037.7708974,0,0,4.0,35.0
1634747045.3152575,0,0,4.0,34.6
1634747052.7628903,0,0,4.0,35.2
1634747060.2517016,0,0,4.0,36.0
1634747067.7730072,0,0,4.0,30.2
1634747075.3931072,0,0,4.0,30.0
1634747083.2909522,0,0,4.0,38.4
1634747090.7649739,0,0,5.0,37.4
1634747098.4552886,0,0,5.0,37.2
1634747106.0777144,0,0,5.0,33.0
1634747113.7953076,0,0,5.0,36.0
1634747121.3199162,0,0,5.0,31.2
1634747129.0738773,0,0,4.0,27.6
1634747136.681206,0,0,4.0,33.6
1634747144.463007,0,0,4.0,29.2
1634747152.151455,0,0,4.0,24.2
1634747160.0150378,0,0,4.0,31.4
1634747167.7143579,0,0,5.0,30.6
1634747175.516787,0,0,5.0,31.6
1634747183.7360022,0,0,4.0,27.8
1634747191.5080204,0,0,4.0,31.0
1634747199.3490317,0,0,4.0,24.0
1634747207.1522563,0,0,4.0,27.6
1634747215.150088,0,0,4.0,30.0
1634747223.0534356,0,0,4.0,31.4
1634747231.0147667,0,0,4.0,30.0
1634747239.048389,0,0,4.0,34.2
1634747246.913788,0,0,5.0,32.8
1634747254.9147854,0,0,5.0,41.2
1634747262.8866158,0,0,5.0,40.0
1634747270.926974,0,0,5.0,45.0
1634747279.3890998,0,0,5.0,39.0
1634747287.3947077,0,0,107.0,38.2
1634747295.5247488,0,0,27.5,41.4
1634747303.657234,0,0,9.5,32.0
1634747311.7197943,0,0,7.0,41.0
1634747319.9477642,0,0,6.0,40.4
1634747328.230821,0,0,6.0,41.4
1634747336.3124757,0,0,5.0,41.8
1634747344.589352,0,0,5.0,40.4
1634747352.720144,0,0,5.0,47.0
1634747361.0662494,0,0,5.0,46.8
1634747369.6597388,0,0,4.0,34.8
1634747378.0271907,0,0,4.0,35.6
1634747386.3208747,0,0,4.0,36.6
1634747394.6062365,0,0,4.0,28.6
1634747402.8224604,0,0,4.0,34.0
1634747411.2200866,0,0,5.0,31.6
1634747419.6130617,0,0,5.5,34.6
1634747427.9124398,0,0,7.0,32.4
1634747436.2929668,0,0,6.0,34.4
1634747444.745218,0,0,6.0,28.2
1634747453.5123556,0,0,5.0,35.4
1634747461.8930538,0,0,5.0,32.2
1634747470.3446853,0,0,5.0,30.4
1634747478.8473103,0,0,4.0,28.8
1634747487.3029087,0,0,4.0,33.2
1634747495.8499048,0,0,5.0,31.0
1634747504.4254947,0,0,4.0,33.8
1634747512.7991047,0,0,4.0,28.0
1634747521.3620002,0,0,4.0,23.2
1634747529.9707792,0,0,4.0,21.2
