Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10
1630752843,21.6396484375,1004.4687367188088,50.69779128125971,1,3,4
1630752845,21.6498046875,1004.4409563335238,50.691944160205516,1,3,4
1630752847,21.6396484375,1004.4557607412337,50.71484559405381,1,3,4
1630752849,21.6447265625,1004.4685300569463,50.691944160205516,1,3,4
1630752851,21.6396484375,1004.4324333635693,50.726418327776244,1,3,4
1630752853,21.6396484375,1004.4667013204056,50.72057092836944,1,3,4
1630752855,21.6396484375,1004.4634573784488,50.674408134588425,1,3,4
1630752857,21.6294921875,1004.4535188036377,50.662957688720276,1,3,5
1630752859,21.6345703125,1004.4602134367514,50.69146200696496,1,3,4
1630752861,21.6294921875,1004.4764331478337,50.651507204220444,1,3,4
1630752864,21.6294921875,1004.4614216712339,50.634210334354265,1,3,5
1630752866,21.6294921875,1004.4975187819425,50.66320045218619,1,3,5
1630752868,21.6294921875,1004.4729822965114,50.82313718887185,1,3,5
1630752870,21.6396484375,1004.4650793493948,50.961026247930576,1,3,5
1630752872,21.6447265625,1004.4587981524204,50.84092409914272,1,3,4
1630752874,21.6447265625,1004.480090702594,50.932401508067905,1,3,4
1630752876,21.6955078125,1004.4789995035045,51.13428947996792,1,3,4
1630752878,21.6904296875,1004.480827054186,51.00272740004906,1,3,4
1630752880,21.7208984375,1004.4846870345942,51.05450967225431,1,3,4
1630752882,21.751171875,1004.4757728764935,51.08401501631166,1,3,4
1630752884,21.7765625,1004.4348175942985,51.03298039730761,1,3,4
1630752886,21.791796875,1004.456199020887,50.8270658233366,1,3,5
1630752888,21.801953125,1004.4515352589292,50.655493866321656,1,3,5
1630752890,21.80703125,1004.4470744389753,50.67876689425569,1,3,5
1630752892,21.8474609375,1004.4827686818404,50.650853719702795,1,3,5
1630752894,21.8677734375,1004.4448378521417,50.64023721279694,1,3,5
1630752896,21.9134765625,1004.4331466873114,50.497735679215175,1,3,4
1630752899,21.9287109375,1004.4337484728849,50.48102288748839,1,3,4
1630752901,21.9337890625,1004.413053293083,50.154546342259145,1,3,4
1630752903,21.979296875,1004.4225654252258,50.316028536475784,1,3,4
1630752905,22.0046875,1004.4108539260441,50.32245881563966,1,3,4
1630752907,22.0603515625,1004.429064260498,50.277425285748826,1,3,4
1630752909,22.0857421875,1004.4069327115096,50.14651553514685,1,3,4
1630752911,22.0958984375,1004.4123929305882,49.91734001087404,1,3,4
1630752913,22.1314453125,1004.3661780682077,50.03851127737598,1,3,4
1630752915,22.171875,1004.4052732590714,49.92485701098224,1,2,3
1630752917,22.207421875,1004.4178757752329,49.86818798016095,1,2,3
1630752919,22.217578125,1004.4162523081154,49.65061582419032,1,2,3
1630752921,22.2580078125,1004.4425451614109,49.754818144159145,1,2,3
1630752923,22.2935546875,1004.4325317230863,49.63513939748031,1,2,3
1630752925,22.2986328125,1004.4163601745051,49.38892074374841,1,2,3
1630752927,22.3443359375,1004.43919748818,49.332184996851815,1,2,3
1630752929,22.3796875,1004.4239153811203,49.29264779007462,1,2,3
1630752932,22.394921875,1004.4111150043774,49.38486243273314,1,2,3
1630752934,22.415234375,1004.4415506616049,49.287638115190106,1,2,3
1630752936,22.445703125,1004.4128876919041,49.14460171184183,1,2,3
1630752938,22.4556640625,1004.395401830588,49.144908336636476,1,2,3
1630752940,22.4861328125,1004.4099063056543,48.89300149535515,1,2,3
1630752942,22.5013671875,1004.3824833648343,49.002346187214755,1,2,3
1630752944,22.5013671875,1004.3940410530664,48.87608094383059,1,2,3
1630752946,22.5013671875,1004.4119643601578,48.78444466604159,0,2,3
1630752948,22.5013671875,1004.4202168931957,48.63511235791159,0,2,3
1630752950,22.5013671875,1004.4295852573044,48.42837544954305,0,2,3
1630752952,22.4962890625,1004.3729262521371,48.474296676571385,0,2,3
1630752954,22.5013671875,1004.4119074316732,48.48587145894842,0,2,3
1630752956,22.4861328125,1004.3676773831551,48.60602884639255,0,2,3
1630752958,22.4912109375,1004.3705490671987,48.70934179218693,0,2,3
1630752960,22.4861328125,1004.4001611657887,48.65194609899114,0,2,3
1630752962,22.4658203125,1004.3878486012221,48.49678338418854,0,2,3
1630752964,22.4556640625,1004.3955910641508,48.42188766719537,0,2,3
1630752967,22.445703125,1004.4015192834058,48.439012524093634,0,2,3
1630752969,22.435546875,1004.384709993713,48.47326076738473,0,2,3
1630752971,22.440625,1004.4090702701938,48.52462945614936,0,2,3
1630752973,22.4203125,1004.4494804578326,48.713820241143274,0,2,3
1630752975,22.415234375,1004.4346128391898,48.736677189698405,0,2,3
1630752977,22.415234375,1004.4346741030629,48.7309386256808,0,2,3
1630752979,22.41015625,1004.4314261159836,48.822754486930386,0,2,3
1630752981,22.41015625,1004.4572194403202,48.7535992905767,0,2,3
1630752983,22.415234375,1004.4168101773475,48.67355245244831,0,2,3
1630752985,22.415234375,1004.4590340144512,48.765467818745414,0,2,3
1630752987,22.405078125,1004.4360461921965,48.656336411485846,0,2,3
1630752989,22.415234375,1004.4153763174439,48.748349794481754,0,2,3
1630752991,22.415234375,1004.4393556495455,48.69076840618337,0,2,3
